hyponym,hypo-definition,hypernym,hyper-definition
noble,"""impressive in size""",magnificent,"""characterized by grandeur"""
noisy,"""full of or characterized by loud and nonmusical sounds""",loud,"""characterized by or producing sound of great volume or intensity"""
noisy,"""full of or characterized by loud and nonmusical sounds""",clamorous,"""conspicuously and offensively loud; given to vehement outcry"""
normal,"""conforming with or constituting a norm or standard or level or type or social norm; not abnormal""",usual,"""occurring or encountered or experienced or observed frequently or in accordance with regular practice or procedure"""
normal,"""conforming with or constituting a norm or standard or level or type or social norm; not abnormal""",standard,"""conforming to or constituting a standard of measurement or value; or of the usual or regularized or accepted kind"""
normal,"""conforming with or constituting a norm or standard or level or type or social norm; not abnormal""",typical,"""exhibiting the qualities or characteristics that identify a group or kind or category"""
normal,"""conforming with or constituting a norm or standard or level or type or social norm; not abnormal""",regular,"""in accordance with fixed order or procedure or principle"""
northern,"""in or characteristic of a region of the United States north of (approximately) the Mason-Dixon line""",american,"""of or relating to the United States of America or its people or language or culture"""
northern,"""in or characteristic of a region of the United States north of (approximately) the Mason-Dixon line""",regional,"""characteristic of a region"""
notable,"""widely known and esteemed""",eminent,"""standing above others in quality or position"""
notable,"""widely known and esteemed""",distinguished,"""(used of persons) standing above others in character or attainment or reputation"""
notable,"""widely known and esteemed""",prominent,"""having a quality that thrusts itself into attention"""
noticeable,"""capable or worthy of being noticed""",evident,"""clearly revealed to the mind or the senses or judgment"""
noticeable,"""capable or worthy of being noticed""",prominent,"""having a quality that thrusts itself into attention"""
noticeable,"""capable or worthy of being noticed""",obvious,"""easily perceived and understood"""
noticeable,"""capable or worthy of being noticed""",apparent,"""clearly revealed to the mind or the senses or judgment"""
nuclear,"""(weapons) deriving destructive energy from the release of atomic energy""",destructive,"""causing destruction or much damage"""
numerous,"""amounting to a large indefinite number""",abundant,"""present in great quantity"""
numerous,"""amounting to a large indefinite number""",plentiful,"""existing in great number or quantity"""
numerous,"""amounting to a large indefinite number""",many,"""a quantifier that can be used with count nouns and is often preceded by ‘as’ or ‘too’ or ‘so’ or ‘that’; amounting to a large but indefinite number; quantifier, plural pronoun; quantifier, plural"""
nursing,"""the work of caring for the sick or injured or infirm""",medical,"""relating to the study or practice of medicine"""
nursing,"""the work of caring for the sick or injured or infirm""",professional,"""engaged in a profession or engaging in as a profession or means of livelihood"""
nursing,"""the work of caring for the sick or injured or infirm""",caring,"""feeling and exhibiting concern and empathy for others"""
obese,"""excessively fat""",large,"""above average in size or number or quantity or magnitude or extent"""
obese,"""excessively fat""",overweight,"""usually describes a large person who is fat but has a large frame to carry it"""
obese,"""excessively fat""",heavy,"""of comparatively great physical weight or density"""
obese,"""excessively fat""",fat,"""having an (over)abundance of flesh"""
objective,"""undistorted by emotion or personal bias; based on observable phenomena""",neutral,"""having no personal preference"""
objective,"""undistorted by emotion or personal bias; based on observable phenomena""",unbiased,"""characterized by a lack of partiality"""
objective,"""undistorted by emotion or personal bias; based on observable phenomena""",impartial,"""showing lack of favoritism"""
obscure,"""not clearly expressed or understood""",unclear,"""poorly stated or described"""
obscure,"""not clearly expressed or understood""",ambiguous,"""open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead"""
occasional,"""occurring from time to time""",infrequent,"""not frequent; not occurring regularly or at short intervals"""
occupational,"""of or relating to the activity or business for which you are trained""",professional,"""engaged in a profession or engaging in as a profession or means of livelihood"""
offensive,"""for the purpose of attack rather than defense""",hostile,"""characterized by enmity or ill will"""
offensive,"""for the purpose of attack rather than defense""",aggressive,"""having or showing determination and energetic pursuit of your ends"""
offensive,"""unpleasant or disgusting especially to the senses""",disgusting,"""highly offensive; arousing aversion or disgust"""
offensive,"""unpleasant or disgusting especially to the senses""",repulsive,"""offensive to the mind"""
offensive,"""unpleasant or disgusting especially to the senses""",unpleasant,"""offensive or disagreeable; causing discomfort or unhappiness"""
official,"""having official authority or sanction""",sanctioned,"""conforming to orthodox or recognized rules"""
official,"""having official authority or sanction""",authorized,"""endowed with authority"""
official,"""having official authority or sanction""",legitimate,"""of marriages and offspring; recognized as lawful"""
okay,"""being satisfactory or in satisfactory condition""",acceptable,"""worthy of acceptance or satisfactory"""
okay,"""being satisfactory or in satisfactory condition""",satisfactory,"""giving satisfaction"""
okay,"""being satisfactory or in satisfactory condition""",suitable,"""meant or adapted for an occasion or use"""
okay,"""being satisfactory or in satisfactory condition""",adequate,"""having the requisite qualities or resources to meet a task"""
old,"""(used especially of persons) having lived for a relatively long time or attained a specific age""",elderly,"""advanced in years; (‘aged’ is pronounced as two syllables)"""
old,"""(used especially of persons) having lived for a relatively long time or attained a specific age""",mature,"""characteristic of maturity"""
old,"""(used especially of persons) having lived for a relatively long time or attained a specific age""",aged,"""advanced in years; (‘aged’ is pronounced as two syllables)"""
only,"""being the only one; single and isolated from others""",unique,"""radically distinctive and without equal"""
open,"""affording unobstructed entrance and exit; not shut or closed""",available,"""obtainable or accessible and ready for use or service"""
open,"""affording unobstructed entrance and exit; not shut or closed""",free,"""not limited or hampered; not under compulsion or restraint"""
open,"""affording unobstructed entrance and exit; not shut or closed""",accessible,"""capable of being reached"""
open,"""affording unobstructed entrance and exit; not shut or closed""",unblocked,"""nan"""
open,"""open and observable; not secret or hidden""",visible,"""capable of being seen; or open to easy view"""
open,"""open and observable; not secret or hidden""",transparent,"""transmitting light; able to be seen through with clarity"""
operational,"""pertaining to a process or series of actions for achieving a result""",practical,"""concerned with actual use or practice"""
operational,"""pertaining to a process or series of actions for achieving a result""",active,"""tending to become more severe or wider in scope"""
opposed,"""being in opposition or having an opponent""",conflicting,"""in disagreement"""
opposed,"""being in opposition or having an opponent""",antagonistic,"""indicating opposition or resistance"""
opposed,"""being in opposition or having an opponent""",hostile,"""characterized by enmity or ill will"""
optical,"""of or relating to or involving light or optics""",physical,"""involving the body as distinguished from the mind or spirit"""
optimistic,"""expecting the best in this best of all possible worlds""",confident,"""having or marked by confidence or assurance"""
optimistic,"""expecting the best in this best of all possible worlds""",hopeful,"""having or manifesting hope"""
optimistic,"""expecting the best in this best of all possible worlds""",positive,"""characterized by or displaying affirmation or acceptance or certainty etc."""
optional,"""possible but not necessary; left to personal choice""",voluntary,"""of your own free will or design; done by choice; not forced or compelled"""
optional,"""possible but not necessary; left to personal choice""",discretionary,"""having or using the ability to act or decide according to your own discretion or judgment"""
oral,"""of or relating to or affecting or for use in the mouth""",bodily,"""of or relating to or belonging to the body"""
orange,"""a river in South Africa that flows generally westward to the Atlantic Ocean""",african,"""of or relating to the nations of Africa or their peoples"""
organic,"""relating or belonging to the class of chemical compounds having a carbon basis""",chemical,"""relating to or used in chemistry"""
organic,"""relating or belonging to the class of chemical compounds having a carbon basis""",compound,"""composed of more than one part"""
organisational,"""of or relating to an organization""",structural,"""relating to or caused by structure, especially political or economic structure"""
organisational,"""of or relating to an organization""",functional,"""designed for or capable of a particular function or use"""
organizational,"""of or relating to an organization""",institutional,"""relating to or constituting or involving an institution"""
organizational,"""of or relating to an organization""",structural,"""relating to or caused by structure, especially political or economic structure"""
original,"""being or productive of something fresh and unusual; or being as first made or thought of""",innovative,"""ahead of the times"""
original,"""being or productive of something fresh and unusual; or being as first made or thought of""",creative,"""having the ability or power to create"""
orthodox,"""of or pertaining to or characteristic of Judaism""",religious,"""concerned with sacred matters or religion or the church"""
other,"""not the same one or ones already mentioned or implied; quantifier, other""",distinct,"""(often followed by ‘from’) not alike; different in nature or quality"""
other,"""not the same one or ones already mentioned or implied; quantifier, other""",separate,"""independent; not united or joint"""
other,"""not the same one or ones already mentioned or implied; quantifier, other""",different,"""unlike in nature or quality or form or degree"""
outdoor,"""located, suited for, or taking place in the open air""",external,"""happening or arising or located outside or beyond some limits or especially surface"""
outer,"""being on the outside or further from a center""",external,"""happening or arising or located outside or beyond some limits or especially surface"""
outer,"""being on the outside or further from a center""",peripheral,"""on or near an edge or constituting an outer boundary; the outer area"""
outside,"""relating to or being on or near the outer side or limit""",peripheral,"""on or near an edge or constituting an outer boundary; the outer area"""
outstanding,"""distinguished from others in excellence""",exceptional,"""far beyond what is usual in magnitude or degree"""
outstanding,"""distinguished from others in excellence""",excellent,"""very good; of the highest quality"""
outstanding,"""distinguished from others in excellence""",superior,"""the largest freshwater lake in the world; the deepest of the Great Lakes"""
overall,"""involving only main features""",broad,"""having great (or a certain) extent from one side to the other"""
overall,"""involving only main features""",general,"""applying to all or most members of a category or group"""
overseas,"""in a foreign country""",international,"""any of several international socialist organizations"""
overseas,"""in a foreign country""",foreign,"""of concern to or concerning the affairs of other nations (other than your own)"""
overwhelming,"""so strong as to be irresistible""",intense,"""possessing or displaying a distinctive feature to a heightened degree"""
overwhelming,"""so strong as to be irresistible""",strong,"""having strength or power greater than average or expected"""
overwhelming,"""so strong as to be irresistible""",powerful,"""having great power or force or potency or effect"""
paid,"""marked by the reception of pay""",remunerated,"""receiving or eligible for compensation"""
paid,"""marked by the reception of pay""",compensated,"""receiving or eligible for compensation"""
painful,"""causing physical or psychological pain""",distressing,"""causing distress or worry or anxiety"""
painful,"""causing physical or psychological pain""",unpleasant,"""offensive or disagreeable; causing discomfort or unhappiness"""
papal,"""proceeding from or ordered by or subject to a pope or the papacy regarded as the successor of the Apostles""",ecclesiastical,"""of or associated with a church (especially a Christian Church)"""
papal,"""proceeding from or ordered by or subject to a pope or the papacy regarded as the successor of the Apostles""",religious,"""concerned with sacred matters or religion or the church"""
paralyzed,"""affected with paralysis""",disabled,"""the total or partial absence of a person's bodily or mental functions, including the absence of a part of a person's body"""
paralyzed,"""affected with paralysis""",incapacitated,"""lacking in or deprived of strength or power"""
paralyzed,"""affected with paralysis""",impaired,"""diminished in strength, quality, or utility"""
parental,"""designating the generation of organisms from which hybrid offspring are produced""",generational,"""of or relating to a generation"""
parental,"""designating the generation of organisms from which hybrid offspring are produced""",ancestral,"""inherited or inheritable by established rules (usually legal rules) of descent"""
parliamentary,"""relating to or having the nature of a parliament""",governmental,"""relating to or dealing with the affairs or structure of government or politics or the state"""
parliamentary,"""relating to or having the nature of a parliament""",political,"""involving or characteristic of politics or parties or politicians"""
parliamentary,"""relating to or having the nature of a parliament""",legislative,"""relating to a legislature or composed of members of a legislature"""
part-time,"""involving less than the standard or customary time for an activity""",limited,"""small in range or scope"""
part-time,"""involving less than the standard or customary time for an activity""",reduced,"""made less in size or amount or degree"""
partial,"""constituting or comprising a part or fraction of a possible whole or entirety""",incomplete,"""not complete or total; not completed"""
particular,"""unique or specific to a person or thing or category""",individual,"""being or characteristic of a single thing or person"""
particular,"""unique or specific to a person or thing or category""",distinct,"""(often followed by ‘from’) not alike; different in nature or quality"""
particular,"""exacting especially about details""",scrupulous,"""having scruples; arising from a sense of right and wrong; principled"""
particular,"""exacting especially about details""",demanding,"""requiring more than usually expected or thought due; especially great patience and effort and skill"""
particular,"""exacting especially about details""",precise,"""sharply exact or accurate or delimited"""
particular,"""exacting especially about details""",meticulous,"""marked by precise accordance with details"""
passionate,"""having or expressing strong emotions""",intense,"""possessing or displaying a distinctive feature to a heightened degree"""
passionate,"""having or expressing strong emotions""",emotional,"""determined or actuated by emotion rather than reason"""
passive,"""lacking in energy or will""",inert,"""unable to move or resist motion"""
passive,"""lacking in energy or will""",listless,"""lacking zest or vivacity"""
passive,"""lacking in energy or will""",lethargic,"""deficient in alertness or activity"""
passive,"""lacking in energy or will""",sluggish,"""slow or slothful"""
past,"""earlier than the present time; no longer current""",former,"""referring to the first of two things or persons mentioned (or the earlier one or ones of several)"""
past,"""earlier than the present time; no longer current""",previous,"""just preceding something else in time or order"""
past,"""earlier than the present time; no longer current""",old,"""of a very early stage in development"""
patient,"""enduring trying circumstances with even temper or characterized by such endurance""",tolerant,"""showing respect for the rights or opinions or practices of others"""
patient,"""enduring trying circumstances with even temper or characterized by such endurance""",resilient,"""recovering readily from adversity, depression, or the like"""
payable,"""subject to or requiring payment especially as specified""",due,"""owed and payable immediately or on demand"""
peculiar,"""beyond or deviating from the usual or expected""",unusual,"""not usual or common or ordinary"""
peculiar,"""beyond or deviating from the usual or expected""",abnormal,"""not normal; not typical or usual or regular or conforming to a norm"""
perceived,"""detected by instinct or inference rather than by recognized perceptual cues""",inferred,"""reason by deduction; establish by deduction"""
perfect,"""being complete of its kind and without defect or blemish""",ideal,"""conforming to an ultimate standard of perfection or excellence; embodying an ideal"""
perfect,"""being complete of its kind and without defect or blemish""",excellent,"""very good; of the highest quality"""
perfect,"""being complete of its kind and without defect or blemish""",superior,"""the largest freshwater lake in the world; the deepest of the Great Lakes"""
permanent,"""continuing or enduring without marked change in status or condition or place""",constant,"""unvarying in nature"""
permanent,"""continuing or enduring without marked change in status or condition or place""",enduring,"""lasting a long time"""
permanent,"""continuing or enduring without marked change in status or condition or place""",stable,"""resistant to change of position or condition"""
persistent,"""retained; not shed""",enduring,"""lasting a long time"""
personal,"""concerning or affecting a particular person or his or her private life and personality""",individual,"""being or characteristic of a single thing or person"""
personal,"""concerning or affecting a particular person or his or her private life and personality""",private,"""confined to particular persons or groups or providing privacy"""
personal,"""concerning or affecting a particular person or his or her private life and personality""",subjective,"""taking place within the mind and modified by individual bias"""
petty,"""inferior in rank or status""",junior,"""used of the younger of two persons of the same name especially used to distinguish a son from his father"""
petty,"""inferior in rank or status""",subordinate,"""lower in rank or importance"""
petty,"""inferior in rank or status""",minor,"""of lesser importance or stature or rank"""
petty,"""inferior in rank or status""",lower,"""the bottom one of two"""
philosophical,"""of or relating to philosophy or philosophers""",intellectual,"""of or associated with or requiring the use of the mind"""
philosophical,"""of or relating to philosophy or philosophers""",theoretical,"""concerned primarily with theories or hypotheses rather than practical considerations"""
philosophical,"""of or relating to philosophy or philosophers""",abstract,"""existing only in the mind; separated from embodiment"""
philosophical,"""of or relating to philosophy or philosophers""",academic,"""associated with academia or an academy"""
photographic,"""relating to photography or obtained by using photography""",visual,"""relating to or using sight"""
physical,"""involving the body as distinguished from the mind or spirit""",corporeal,"""having material or physical form or substance"""
physical,"""involving the body as distinguished from the mind or spirit""",material,"""concerned with worldly rather than spiritual interests"""
pink,"""of a light shade of red""",red,"""a tributary of the Mississippi River that flows eastward from Texas along the southern boundary of Oklahoma and through Louisiana"""
pink,"""of a light shade of red""",colored,"""having color or a certain color; sometimes used in combination"""
plain,"""not elaborate or elaborated; simple""",simple,"""having few parts; not complex or complicated or involved"""
plain,"""not elaborate or elaborated; simple""",uncomplicated,"""lacking complexity"""
plain,"""not elaborate or elaborated; simple""",basic,"""a popular programming language that is relatively easy to learn; an acronym for beginner's all-purpose symbolic instruction code; no longer in general use"""
planned,"""designed or carried out according to a plan""",systematic,"""characterized by order and planning"""
planned,"""designed or carried out according to a plan""",organized,"""formed into a structured or coherent whole, particularly on a large scale"""
planned,"""designed or carried out according to a plan""",deliberate,"""carefully thought out in advance"""
planned,"""designed or carried out according to a plan""",methodical,"""characterized by method and orderliness"""
plausible,"""apparently reasonable and credible, and therefore convincing""",convincing,"""causing one to believe the truth of something"""
plausible,"""apparently reasonable and credible, and therefore convincing""",believable,"""capable of being believed"""
plausible,"""apparently reasonable and credible, and therefore convincing""",reasonable,"""showing reason or sound judgment"""
plausible,"""apparently reasonable and credible, and therefore convincing""",credible,"""capable of being believed"""
pleasant,"""affording pleasure; being in harmony with your taste or likings""",enjoyable,"""affording satisfaction or pleasure"""
pleasant,"""affording pleasure; being in harmony with your taste or likings""",agreeable,"""conforming to your own liking or feelings or nature"""
pleased,"""experiencing or manifesting pleasure""",joyful,"""full of or producing joy"""
pleased,"""experiencing or manifesting pleasure""",content,"""satisfied or showing satisfaction with things as they are"""
polish,"""of or relating to Poland or its people or culture""",slavic,"""of or relating to Slavic languages"""
polish,"""of or relating to Poland or its people or culture""",european,"""of or relating to or characteristic of Europe or the people of Europe"""
polite,"""showing regard for others in manners, speech, behavior, etc.""",respectful,"""full of or exhibiting respect"""
polite,"""showing regard for others in manners, speech, behavior, etc.""",considerate,"""showing concern for the rights and feelings of others"""
political,"""involving or characteristic of politics or parties or politicians""",public,"""not private; open to or concerning the people as a whole"""
political,"""involving or characteristic of politics or parties or politicians""",civic,"""of or relating or belonging to a city"""
political,"""involving or characteristic of politics or parties or politicians""",social,"""relating to human society and its members"""
political,"""involving or characteristic of politics or parties or politicians""",governmental,"""relating to or dealing with the affairs or structure of government or politics or the state"""
poor,"""having little money or few possessions""",needy,"""poor enough to need help from others"""
popular,"""regarded with great favor, approval, or affection especially by the general public""",favored,"""preferred above all others and treated with partiality"""
portable,"""easily or conveniently transported""",movable,"""(of personal property as opposed to real estate) can be moved from place to place (especially carried by hand)"""
portable,"""easily or conveniently transported""",transportable,"""capable of being moved or conveyed from one place to another"""
positive,"""characterized by or displaying affirmation or acceptance or certainty etc.""",encouraging,"""giving courage or confidence or hope"""
positive,"""characterized by or displaying affirmation or acceptance or certainty etc.""",favorable,"""encouraging or approving or pleasing"""
positive,"""characterized by or displaying affirmation or acceptance or certainty etc.""",constructive,"""constructing or tending to construct or improve or promote development"""
positive,"""characterized by or displaying affirmation or acceptance or certainty etc.""",supportive,"""furnishing support or assistance"""
positive,"""characterized by or displaying affirmation or acceptance or certainty etc.""",affirmative,"""affirming or giving assent"""
possible,"""capable of happening or existing""",conceivable,"""capable of being imagined"""
powerful,"""having great power or force or potency or effect""",effective,"""producing or capable of producing an intended result or having a striking effect"""
powerful,"""having great power or force or potency or effect""",strong,"""having strength or power greater than average or expected"""
practical,"""concerned with actual use or practice""",functional,"""designed for or capable of a particular function or use"""
practical,"""concerned with actual use or practice""",useful,"""being of use or service"""
practical,"""concerned with actual use or practice""",applicable,"""capable of being applied; having relevance"""
precious,"""characterized by feeling or showing fond affection for""",affectionate,"""having or displaying warmth or affection"""
precious,"""characterized by feeling or showing fond affection for""",fond,"""having or displaying warmth or affection"""
precise,"""sharply exact or accurate or delimited""",specific,"""(sometimes followed by ‘to’) applying to or characterized by or distinguishing something particular or special or unique"""
precise,"""sharply exact or accurate or delimited""",correct,"""free from error; especially conforming to fact or truth"""
predictable,"""capable of being foretold""",expected,"""considered likely or probable to happen or arrive"""
predictable,"""capable of being foretold""",foreseeable,"""capable of being anticipated"""
preferred,"""like better; value more highly""",desirable,"""worth having or seeking or achieving"""
preferred,"""like better; value more highly""",favorable,"""encouraging or approving or pleasing"""
preferred,"""like better; value more highly""",valued,"""(usually used in combination) having value of a specified kind"""
pregnant,"""carrying developing offspring within the body or being about to produce new life""",expectant,"""marked by eager anticipation"""
pregnant,"""carrying developing offspring within the body or being about to produce new life""",fertile,"""capable of reproducing"""
preliminary,"""denoting an action or event preceding or in preparation for something more important""",initial,"""occurring at the beginning"""
preliminary,"""denoting an action or event preceding or in preparation for something more important""",introductory,"""serving to open or begin"""
present,"""temporal sense; intermediate between past and future; now existing or happening or in consideration""",existing,"""presently existing"""
present,"""temporal sense; intermediate between past and future; now existing or happening or in consideration""",current,"""occurring in or belonging to the present time"""
present,"""temporal sense; intermediate between past and future; now existing or happening or in consideration""",contemporary,"""characteristic of the present"""
present,"""being or existing in a specified place""",existing,"""presently existing"""
present,"""being or existing in a specified place""",located,"""situated in a particular spot or position"""
presidential,"""relating to a president or presidency""",governmental,"""relating to or dealing with the affairs or structure of government or politics or the state"""
presidential,"""relating to a president or presidency""",executive,"""having the function of carrying out plans or orders etc."""
pretty,"""pleasing by delicacy or grace; not imposing""",attractive,"""pleasing to the eye or mind especially through beauty or charm"""
pretty,"""pleasing by delicacy or grace; not imposing""",delicate,"""exquisitely fine and subtle and pleasing; susceptible to injury"""
pretty,"""pleasing by delicacy or grace; not imposing""",graceful,"""characterized by beauty of movement, style, form, or execution"""
pretty,"""pleasing by delicacy or grace; not imposing""",beautiful,"""delighting the senses or exciting intellectual or emotional admiration"""
pretty,"""pleasing by delicacy or grace; not imposing""",charming,"""pleasing or delighting"""
primary,"""of first rank or importance or value; direct and immediate rather than secondary""",major,"""British statesman who was prime minister from 1990 until 1997 (born in 1943)"""
prime,"""of or relating to or being an integer that cannot be factored into other integers""",whole,"""including all components without exception; being one unit or constituting the full amount or extent or duration; complete"""
primitive,"""belonging to an early stage of technical development; characterized by simplicity and (often) crudeness""",early,"""at or near the beginning of a period of time or course of events or before the usual or expected time"""
primitive,"""belonging to an early stage of technical development; characterized by simplicity and (often) crudeness""",rudimentary,"""being or involving basic facts or principles"""
primitive,"""belonging to an early stage of technical development; characterized by simplicity and (often) crudeness""",simple,"""having few parts; not complex or complicated or involved"""
principal,"""most important element""",key,"""United States lawyer and poet who wrote a poem after witnessing the British attack on Baltimore during the War of 1812; the poem was later set to music and entitled ‘The Star-Spangled Banner’ (1779-1843)"""
principal,"""most important element""",major,"""British statesman who was prime minister from 1990 until 1997 (born in 1943)"""
principal,"""most important element""",important,"""of great significance or value"""
prior,"""earlier in time""",former,"""referring to the first of two things or persons mentioned (or the earlier one or ones of several)"""
private,"""confined to particular persons or groups or providing privacy""",restricted,"""subject to restriction or subjected to restriction"""
private,"""confined to particular persons or groups or providing privacy""",exclusive,"""not divided or shared with others"""
privileged,"""blessed with privileges""",advantaged,"""nan"""
privileged,"""blessed with privileges""",favored,"""preferred above all others and treated with partiality"""
probable,"""likely but not certain to be or become true or real""",plausible,"""apparently reasonable and credible, and therefore convincing"""
probable,"""likely but not certain to be or become true or real""",likely,"""has a good chance of being the case or of coming about"""
probable,"""likely but not certain to be or become true or real""",possible,"""capable of happening or existing"""
productive,"""producing or capable of producing (especially abundantly)""",prolific,"""intellectually productive"""
productive,"""producing or capable of producing (especially abundantly)""",efficient,"""being effective without wasting time or effort or expense"""
productive,"""producing or capable of producing (especially abundantly)""",fruitful,"""productive or conducive to producing in abundance"""
professional,"""engaged in a profession or engaging in as a profession or means of livelihood""",vocational,"""of or relating to a vocation or occupation; especially providing or undergoing training in special skills"""
profitable,"""yielding material gain or profit""",advantageous,"""giving an advantage"""
profitable,"""yielding material gain or profit""",productive,"""producing or capable of producing (especially abundantly)"""
profitable,"""yielding material gain or profit""",lucrative,"""producing a sizeable profit"""
profitable,"""yielding material gain or profit""",beneficial,"""promoting or enhancing well-being"""
profound,"""showing intellectual penetration or emotional depth""",serious,"""concerned with work or important matters rather than play or trivialities"""
profound,"""showing intellectual penetration or emotional depth""",intense,"""possessing or displaying a distinctive feature to a heightened degree"""
profound,"""showing intellectual penetration or emotional depth""",deep,"""relatively deep or strong; affecting one deeply"""
prolonged,"""relatively long in duration; tediously protracted""",long,"""primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified"""
prominent,"""having a quality that thrusts itself into attention""",noticeable,"""capable or worthy of being noticed"""
prominent,"""having a quality that thrusts itself into attention""",conspicuous,"""obvious to the eye or mind"""
prone,"""having a tendency (to); often used in combination""",inclined,"""(often followed by ‘to’) having a preference, disposition, or tendency"""
prone,"""having a tendency (to); often used in combination""",liable,"""at risk of or subject to experiencing something usually unpleasant"""
proper,"""marked by suitability or rightness or appropriateness""",correct,"""free from error; especially conforming to fact or truth"""
proper,"""marked by suitability or rightness or appropriateness""",appropriate,"""suitable for a particular person or place or condition etc"""
proper,"""marked by suitability or rightness or appropriateness""",suitable,"""meant or adapted for an occasion or use"""
proportional,"""properly related in size or degree or other measurable characteristics; usually followed by ‘to’""",comparable,"""able to be compared or worthy of comparison"""
prospective,"""of or concerned with or related to the future""",future,"""yet to be or coming"""
protective,"""intended or adapted to afford protection of some kind""",defensive,"""intended or appropriate for defending against or deterring aggression or attack"""
proud,"""feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride""",content,"""satisfied or showing satisfaction with things as they are"""
proud,"""feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride""",pleased,"""experiencing or manifesting pleasure"""
provincial,"""of or associated with a province""",regional,"""characteristic of a region"""
provincial,"""of or associated with a province""",local,"""relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area"""
provisional,"""under terms not final or fully worked out or agreed upon""",preliminary,"""denoting an action or event preceding or in preparation for something more important"""
provisional,"""under terms not final or fully worked out or agreed upon""",temporary,"""not permanent; not lasting"""
provisional,"""under terms not final or fully worked out or agreed upon""",interim,"""serving during an intermediate interval of time"""
psychiatric,"""relating to or used in or engaged in the practice of psychiatry""",clinical,"""relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients"""
psychiatric,"""relating to or used in or engaged in the practice of psychiatry""",medical,"""relating to the study or practice of medicine"""
psychological,"""of or relating to or determined by psychology""",mental,"""involving the mind or an intellectual process"""
public,"""not private; open to or concerning the people as a whole""",open,"""affording unobstructed entrance and exit; not shut or closed"""
public,"""not private; open to or concerning the people as a whole""",general,"""applying to all or most members of a category or group"""
public,"""not private; open to or concerning the people as a whole""",common,"""belonging to or participated in by a community as a whole; public"""
pure,"""free of extraneous elements of any kind""",uncontaminated,"""not corrupted by contact or association"""
purple,"""of a color intermediate between red and blue""",colorful,"""having much or varied color"""
qualified,"""meeting the proper standards and requirements and training for an office or position or task""",skilled,"""having or showing or requiring special skill"""
qualified,"""meeting the proper standards and requirements and training for an office or position or task""",competent,"""properly or sufficiently qualified or capable or efficient"""
qualified,"""meeting the proper standards and requirements and training for an office or position or task""",fit,"""meeting adequate standards for a purpose"""
qualified,"""meeting the proper standards and requirements and training for an office or position or task""",suitable,"""meant or adapted for an occasion or use"""
qualified,"""meeting the proper standards and requirements and training for an office or position or task""",capable,"""(usually followed by ‘of’) having capacity or ability"""
quantitative,"""expressible as a quantity or relating to or susceptible of measurement""",measurable,"""capable of being measured"""
racial,"""of or related to genetically distinguished groups of people""",ethnic,"""denoting or deriving from or distinctive of the ways of living built up by a group of people"""
radical,"""of or relating to or constituting a linguistic root""",linguistic,"""consisting of or related to language"""
random,"""lacking any definite plan or order or purpose; governed by or depending on chance""",arbitrary,"""based on or subject to individual discretion or preference or sometimes impulse or caprice"""
random,"""lacking any definite plan or order or purpose; governed by or depending on chance""",unpredictable,"""not capable of being foretold"""
random,"""lacking any definite plan or order or purpose; governed by or depending on chance""",unplanned,"""without apparent forethought or prompting or planning"""
rapid,"""done or occurring in a brief period of time""",swift,"""United States meat-packer who began the use of refrigerated railroad cars (1839-1903)"""
rational,"""consistent with or based on or using reason""",logical,"""capable of or reflecting the capability for correct and valid reasoning"""
rational,"""consistent with or based on or using reason""",reasonable,"""showing reason or sound judgment"""
rational,"""consistent with or based on or using reason""",sensible,"""showing reason or sound judgment"""
raw,"""not treated with heat to prepare it for eating""",untreated,"""not given medical care or treatment"""
ready,"""completely prepared or in condition for immediate action or use or progress""",equipped,"""provide with (something) usually for a specific purpose"""
ready,"""completely prepared or in condition for immediate action or use or progress""",prepared,"""made ready or fit or suitable beforehand"""
real,"""being or occurring in fact or actuality; having verified existence; not illusory""",true,"""consistent with fact or reality; not false"""
real,"""being or reflecting the essential or genuine character of something""",true,"""consistent with fact or reality; not false"""
realistic,"""aware or expressing awareness of things as they really are""",objective,"""undistorted by emotion or personal bias; based on observable phenomena"""
realistic,"""aware or expressing awareness of things as they really are""",practical,"""concerned with actual use or practice"""
rear,"""located in or toward the back or rear""",hind,"""located at or near the back of an animal"""
reasonable,"""showing reason or sound judgment""",prudent,"""careful and sensible; marked by sound judgment"""
reasonable,"""showing reason or sound judgment""",rational,"""consistent with or based on or using reason"""
reasonable,"""showing reason or sound judgment""",judicious,"""marked by the exercise of good judgment or common sense in practical matters"""
recent,"""approximately the last 10,000 years""",modern,"""used of a living language; being the current stage in its development"""
recent,"""approximately the last 10,000 years""",contemporary,"""characteristic of the present"""
reckless,"""marked by defiant disregard for danger or consequences""",careless,"""marked by lack of attention or consideration or forethought or thoroughness; not careful"""
reckless,"""marked by defiant disregard for danger or consequences""",daring,"""disposed to venture or take risks"""
red,"""a tributary of the Mississippi River that flows eastward from Texas along the southern boundary of Oklahoma and through Louisiana""",southern,"""in or characteristic of a region of the United States south of (approximately) the Mason-Dixon line"""
